id,valor,pais,canal,tipo_cartao,horario,data,usuario_id,fraude
45,748.13,BR,loja,credito,20:34,2025-02-28,USER_0051,0
46,404.59,BR,app,debito,08:49,2025-04-21,USER_1194,0
47,742.09,BR,app,credito,21:36,2025-03-26,USER_1988,0
48,474.98,BR,app,debito,14:41,2025-03-11,USER_1362,0
49,190.98,BR,app,debito,14:29,2025-04-23,USER_1138,0
50,396.42,BR,app,credito,09:39,2025-05-14,USER_0798,0
51,620.1,BR,loja,credito,18:01,2025-05-05,USER_1568,0
52,325.98,BR,app,credito,10:18,2025-03-07,USER_0640,0
53,232.84,BR,app,debito,12:46,2025-04-12,USER_0806,0
54,432.13,BR,loja,debito,16:59,2025-05-12,USER_0259,0
55,455.7,BR,web,debito,06:50,2025-02-22,USER_0377,0
56,3.06,BR,loja,credito,13:40,2025-05-09,USER_0933,0
57,161.8,BR,loja,debito,10:04,2025-04-09,USER_0562,0
58,357.57,BR,app,credito,12:05,2025-03-28,USER_0504,0
59,393.84,BR,app,credito,10:58,2025-03-07,USER_1970,0
60,737.96,BR,loja,credito,18:24,2025-05-11,USER_1988,0
61,558.85,BR,web,credito,19:51,2025-03-23,USER_1098,0
62,58.89,BR,loja,debito,14:17,2025-05-07,USER_0846,0
63,368.75,BR,loja,debito,06:44,2025-02-27,USER_0617,0
64,573.06,BR,loja,credito,18:02,2025-04-09,USER_0058,0
65,145.27,BR,app,debito,11:55,2025-04-17,USER_1732,0
66,320.92,BR,app,credito,16:30,2025-04-16,USER_1780,0
67,261.37,BR,loja,credito,13:23,2025-02-27,USER_0836,0
68,406.71,BR,web,credito,17:53,2025-05-11,USER_1105,1
69,587.27,BR,app,debito,12:48,2025-04-30,USER_1233,0
70,362.46,BR,app,pre-pago,17:51,2025-04-14,USER_1666,0
71,150.04,BR,loja,debito,13:54,2025-04-24,USER_1663,0
72,366.91,BR,web,debito,20:46,2025-04-16,USER_1164,0
73,341.24,BR,web,debito,08:31,2025-05-15,USER_0737,0
74,412.22,BR,app,credito,12:59,2025-03-28,USER_1330,0
75,690.48,BR,web,debito,07:34,2025-03-23,USER_0195,0
76,384.42,BR,web,credito,19:20,2025-03-19,USER_0305,0
77,405.55,BR,app,credito,17:00,2025-04-08,USER_1235,0
78,242.34,BR,app,debito,11:23,2025-04-09,USER_0180,0
79,386.26,BR,app,credito,20:32,2025-03-27,USER_0342,0
80,385.76,BR,web,credito,14:55,2025-05-02,USER_1735,0
81,145.48,BR,web,credito,17:43,2025-03-04,USER_1172,0
82,121.79,BR,app,debito,06:34,2025-04-06,USER_0519,0
83,478.61,BR,app,credito,18:52,2025-02-17,USER_0414,0
84,371.03,BR,app,credito,20:08,2025-04-03,USER_1548,0
85,195.0,NG,web,credito,15:30,2025-03-15,USER_1963,0
86,255.87,BR,app,credito,14:21,2025-03-21,USER_0714,0
87,743.28,BR,loja,debito,13:54,2025-03-22,USER_0309,0
88,250.04,BR,loja,debito,13:42,2025-03-16,USER_0461,0
89,546.04,BR,app,credito,14:51,2025-04-06,USER_0435,0
90,547.15,BR,loja,debito,17:27,2025-05-11,USER_1018,0
91,575.46,BR,loja,credito,16:47,2025-03-24,USER_0551,0
92,238.4,BR,app,debito,09:41,2025-02-24,USER_1865,0
93,3.51,BR,loja,credito,16:43,2025-05-05,USER_1815,0
94,45.59,BR,app,debito,17:23,2025-04-20,USER_1961,0
95,567.71,BR,web,credito,12:44,2025-03-26,USER_1727,0
96,263.18,BR,app,debito,08:59,2025-05-13,USER_1499,0
97,395.71,BR,web,debito,07:43,2025-03-27,USER_0980,0
98,404.79,US,app,debito,13:17,2025-02-26,USER_1570,0
99,746.36,BR,loja,credito,07:13,2025-03-28,USER_1278,0
100,418.46,BR,loja,credito,19:38,2025-03-28,USER_0438,0
101,551.77,BR,app,credito,17:01,2025-02-28,USER_0633,0
102,452.34,BR,loja,debito,16:20,2025-02-17,USER_0228,0
103,338.75,BR,loja,credito,06:53,2025-04-16,USER_0643,0
104,501.8,BR,app,debito,16:18,2025-03-30,USER_1041,0
105,469.8,BR,loja,pre-pago,16:43,2025-04-03,USER_0990,0
106,524.72,BR,app,credito,20:59,2025-05-02,USER_0003,0
107,598.02,BR,web,debito,15:37,2025-04-03,USER_0234,0
108,187.86,BR,loja,debito,19:15,2025-03-25,USER_0590,0
109,341.28,BR,app,credito,21:56,2025-04-06,USER_0050,0
110,523.42,BR,loja,debito,13:26,2025-04-29,USER_0476,0
111,384.68,BR,web,debito,19:36,2025-04-05,USER_1731,0
112,150.16,BR,loja,credito,08:12,2025-04-01,USER_0975,0
113,74.15,BR,app,debito,12:02,2025-04-05,USER_1088,0
114,347.19,BR,app,credito,09:12,2025-02-21,USER_1912,0
115,206.3,BR,web,credito,12:22,2025-05-11,USER_0618,0
116,191.01,BR,app,credito,15:45,2025-03-18,USER_0702,0
117,229.15,BR,web,debito,17:38,2025-02-27,USER_1796,0
118,463.96,BR,app,debito,13:11,2025-05-11,USER_0359,0
119,279.75,BR,loja,credito,19:20,2025-04-23,USER_0436,0
120,291.2,BR,loja,credito,21:10,2025-05-07,USER_0617,0
121,415.66,BR,app,credito,20:51,2025-03-13,USER_0296,0
122,432.54,BR,web,debito,18:50,2025-05-10,USER_0583,0
123,465.2,BR,web,debito,18:28,2025-04-18,USER_1460,0
124,770.28,BR,loja,debito,20:09,2025-05-10,USER_0644,0
125,341.68,BR,app,credito,20:31,2025-03-10,USER_0322,0
126,412.02,BR,app,debito,06:36,2025-03-07,USER_1763,0
127,243.5,BR,loja,credito,18:44,2025-05-12,USER_0074,0
128,62.94,BR,web,credito,14:35,2025-05-14,USER_0659,0
129,449.65,BR,app,debito,10:24,2025-04-10,USER_1004,0
130,289.21,BR,app,debito,06:10,2025-04-13,USER_0599,0
131,418.4,BR,app,debito,18:16,2025-03-01,USER_0393,0
132,332.8,BR,web,credito,09:56,2025-04-13,USER_0506,0
133,504.98,US,loja,credito,18:22,2025-04-09,USER_1480,0
134,174.68,BR,app,credito,06:18,2025-03-27,USER_1500,0
135,148.7,BR,app,credito,19:25,2025-03-16,USER_0874,0
136,213.85,CN,app,credito,14:24,2025-03-24,USER_1549,0
137,404.19,BR,app,credito,14:18,2025-04-22,USER_0839,0
138,369.15,BR,web,debito,19:11,2025-04-25,USER_0604,0
139,499.18,BR,loja,credito,12:21,2025-05-04,USER_1661,0
140,508.83,BR,web,debito,11:16,2025-05-13,USER_1947,0
141,710.55,BR,loja,credito,11:50,2025-04-17,USER_0056,0
142,243.71,BR,web,debito,09:54,2025-03-14,USER_0983,0
143,451.76,BR,web,credito,14:04,2025-03-22,USER_1077,0
144,266.01,BR,loja,credito,14:01,2025-04-22,USER_1479,0
145,424.64,BR,loja,credito,11:42,2025-03-07,USER_1829,0
146,614.72,BR,loja,debito,07:32,2025-05-08,USER_1665,0
147,643.55,BR,app,credito,20:41,2025-03-12,USER_0093,0
148,618.14,NG,loja,debito,08:02,2025-04-04,USER_1349,0
149,584.84,BR,app,debito,15:52,2025-04-13,USER_0397,0
150,427.56,BR,web,credito,18:08,2025-02-26,USER_0612,0
151,536.03,US,loja,credito,16:02,2025-03-29,USER_0237,0
152,397.29,BR,web,debito,21:40,2025-02-21,USER_1707,0
153,140.77,BR,app,debito,11:45,2025-02-27,USER_1314,0
154,473.06,BR,app,credito,12:45,2025-04-10,USER_1854,0
155,603.36,BR,app,debito,17:26,2025-04-07,USER_0104,0
156,413.45,BR,loja,credito,15:50,2025-04-27,USER_1808,0
157,717.56,BR,loja,debito,19:18,2025-04-25,USER_0419,0
158,506.06,BR,loja,credito,19:43,2025-04-08,USER_1700,0
159,620.87,BR,web,credito,18:29,2025-03-18,USER_0216,0
160,378.2,BR,loja,credito,17:49,2025-04-18,USER_1270,0
161,320.85,BR,loja,debito,10:23,2025-05-07,USER_1091,0
162,606.45,BR,app,credito,19:39,2025-04-24,USER_1348,0
163,653.42,BR,app,credito,10:34,2025-05-07,USER_1806,0
164,607.65,BR,loja,debito,07:17,2025-02-22,USER_1220,0
165,557.25,BR,loja,debito,09:03,2025-04-23,USER_0060,0
166,273.98,BR,app,debito,19:02,2025-03-22,USER_0067,0
167,249.69,BR,loja,debito,16:39,2025-03-27,USER_0902,0
168,657.68,BR,web,debito,11:43,2025-05-01,USER_1812,0
169,305.21,BR,app,debito,13:03,2025-03-10,USER_0128,0
170,155.24,BR,loja,debito,15:38,2025-02-21,USER_0842,0
171,66.05,BR,loja,credito,21:08,2025-04-07,USER_1500,0
172,633.59,BR,app,debito,16:32,2025-02-25,USER_1095,0
173,297.52,BR,loja,debito,13:12,2025-02-18,USER_1852,0
174,458.08,BR,app,debito,08:17,2025-04-15,USER_1550,0
175,192.31,BR,loja,credito,09:13,2025-05-13,USER_1532,0
176,809.61,BR,app,credito,20:25,2025-02-17,USER_1308,0
177,165.88,BR,loja,credito,21:08,2025-03-09,USER_1426,0
178,13.24,BR,app,credito,21:32,2025-05-09,USER_0536,0
179,316.01,BR,web,debito,09:07,2025-05-17,USER_1334,0
180,84.88,BR,app,debito,10:05,2025-04-21,USER_0914,0
181,362.72,BR,app,credito,17:49,2025-04-12,USER_1079,0
182,323.95,BR,app,credito,07:21,2025-02-19,USER_1172,0
183,460.11,BR,app,credito,09:56,2025-02-19,USER_1245,0
184,615.17,BR,loja,credito,09:44,2025-03-01,USER_1517,0
185,188.59,BR,loja,credito,11:06,2025-03-11,USER_1258,0
186,258.58,BR,app,credito,07:39,2025-04-02,USER_1264,0
187,372.1,BR,loja,debito,19:48,2025-02-21,USER_1944,0
188,645.91,BR,loja,debito,08:48,2025-02-19,USER_0132,0
189,406.55,BR,loja,credito,16:59,2025-04-20,USER_0226,0
190,116.8,BR,app,credito,18:02,2025-02-27,USER_1389,0
191,406.13,BR,app,debito,13:04,2025-04-16,USER_1369,0
192,148.11,BR,loja,credito,14:45,2025-02-18,USER_0544,0
193,467.07,BR,web,credito,08:32,2025-05-02,USER_1131,0
194,612.13,BR,loja,debito,17:23,2025-02-26,USER_0952,0
195,367.37,BR,loja,credito,10:44,2025-04-08,USER_0308,0
196,391.32,BR,loja,debito,16:22,2025-05-11,USER_0047,0
197,546.1,BR,app,credito,08:30,2025-02-17,USER_1524,0
198,69.22,BR,app,debito,21:52,2025-05-15,USER_1852,0
199,109.17,BR,app,credito,09:48,2025-04-16,USER_0183,0
200,356.35,BR,web,debito,10:05,2025-04-02,USER_1003,0
201,351.92,BR,app,credito,17:35,2025-02-17,USER_1803,0
202,473.35,BR,app,credito,10:11,2025-05-03,USER_0070,0
203,292.25,BR,web,credito,19:16,2025-05-05,USER_0216,0
204,306.04,BR,app,debito,10:13,2025-05-01,USER_0104,0
205,269.81,BR,loja,debito,21:19,2025-03-13,USER_1351,0
206,514.71,BR,web,debito,09:00,2025-04-11,USER_0210,0
207,646.2,BR,loja,credito,20:18,2025-03-22,USER_1450,0
208,239.65,BR,app,credito,13:12,2025-04-11,USER_1813,0
209,129.58,BR,app,debito,18:13,2025-04-10,USER_0351,0
210,454.36,BR,web,credito,09:17,2025-02-25,USER_0455,0
211,356.43,BR,loja,debito,16:51,2025-03-27,USER_0354,0
212,469.97,BR,loja,debito,07:14,2025-04-24,USER_1854,0
213,628.38,BR,app,debito,14:29,2025-04-10,USER_0918,0
214,2133.13,US,web,credito,1:40,2025-03-18,USER_1963,1
215,454.46,BR,loja,credito,09:28,2025-04-14,USER_1017,0
216,402.51,BR,loja,credito,20:02,2025-03-05,USER_0179,0
217,286.96,BR,web,debito,11:00,2025-03-28,USER_0271,0
218,396.23,BR,loja,pre-pago,07:56,2025-04-28,USER_1323,0
219,266.28,BR,web,credito,13:33,2025-03-10,USER_0385,0
220,300.38,BR,loja,credito,11:32,2025-04-26,USER_0939,0
221,470.51,BR,loja,credito,11:42,2025-03-11,USER_0130,0
222,282.34,BR,loja,debito,16:51,2025-05-07,USER_0504,0
223,377.5,BR,app,debito,09:15,2025-05-01,USER_1758,0
224,448.71,BR,loja,credito,18:18,2025-04-24,USER_1447,0
225,677.76,BR,loja,debito,13:07,2025-04-16,USER_1109,0
226,309.68,BR,loja,credito,15:31,2025-03-15,USER_1714,0
227,311.5,BR,web,debito,20:46,2025-02-27,USER_0347,0
228,505.53,BR,loja,credito,14:03,2025-04-15,USER_1448,0
229,513.87,BR,app,credito,14:47,2025-03-18,USER_1933,0
230,241.46,CN,loja,credito,20:02,2025-03-04,USER_1287,0
231,868.17,BR,web,credito,06:26,2025-04-10,USER_0942,0
232,426.62,BR,loja,credito,10:50,2025-03-24,USER_0673,0
233,407.37,BR,app,credito,08:58,2025-03-30,USER_0450,0
234,307.62,BR,loja,credito,20:05,2025-04-29,USER_1580,0
235,707.97,BR,web,credito,10:21,2025-03-15,USER_0965,0
236,685.5,BR,loja,debito,07:40,2025-03-12,USER_1932,0
237,413.76,RU,app,debito,18:04,2025-04-12,USER_0018,0
238,461.11,BR,app,credito,13:11,2025-02-21,USER_0659,0
239,343.34,BR,app,debito,07:51,2025-04-29,USER_0503,0
240,215.07,BR,app,credito,18:18,2025-02-24,USER_1310,0
241,384.09,BR,web,credito,16:57,2025-03-25,USER_1830,0
242,446.16,BR,web,credito,16:37,2025-05-12,USER_0721,0
243,534.5,BR,loja,credito,06:28,2025-02-27,USER_0253,0
244,435.88,BR,loja,credito,11:26,2025-04-29,USER_1203,0
245,638.32,BR,loja,debito,08:45,2025-04-06,USER_1536,0
246,463.98,BR,app,credito,18:47,2025-05-05,USER_0854,0
247,490.0,BR,loja,credito,21:37,2025-02-25,USER_1638,0
248,646.72,BR,loja,credito,17:16,2025-05-14,USER_1513,0
249,255.03,BR,loja,debito,16:00,2025-04-01,USER_1309,0
250,163.22,BR,web,credito,12:40,2025-02-27,USER_0827,0
251,671.85,BR,app,credito,07:50,2025-05-01,USER_1465,0
252,386.09,BR,loja,debito,08:43,2025-03-16,USER_0458,0
253,249.46,BR,loja,credito,18:46,2025-04-23,USER_1165,0
254,388.41,BR,web,credito,13:30,2025-03-22,USER_1606,0
255,763.95,BR,loja,debito,18:00,2025-04-03,USER_0382,0
256,573.0,BR,loja,debito,19:44,2025-05-01,USER_0651,0
257,367.53,BR,app,debito,08:47,2025-05-10,USER_0567,0
258,307.19,BR,app,debito,7:01,2025-04-06,USER_0218,1
259,117.97,US,loja,debito,16:37,2025-04-09,USER_1948,0
260,442.04,US,app,debito,21:27,2025-05-04,USER_0459,0
261,593.61,BR,app,debito,09:41,2025-04-03,USER_0682,0
262,93.13,BR,app,credito,19:57,2025-05-02,USER_0635,0
263,574.03,BR,loja,pre-pago,08:47,2025-04-05,USER_1383,0
264,627.98,BR,loja,credito,14:14,2025-04-16,USER_1811,0
265,513.43,US,loja,debito,21:09,2025-03-06,USER_0815,0
266,3.67,BR,app,debito,13:06,2025-05-15,USER_1574,0
267,21.96,BR,web,debito,08:14,2025-04-05,USER_1186,0
268,490.41,BR,app,debito,17:35,2025-05-10,USER_1860,0
269,396.65,BR,web,debito,20:37,2025-03-31,USER_0911,0
270,249.1,FR,web,debito,20:18,2025-03-01,USER_1361,0
271,753.75,BR,app,credito,08:55,2025-04-28,USER_1606,0
272,291.08,BR,loja,credito,21:30,2025-04-04,USER_1142,0
273,505.92,BR,app,credito,08:41,2025-04-21,USER_1138,0
274,325.87,BR,app,debito,10:11,2025-05-16,USER_0311,0
275,620.2,BR,loja,credito,09:51,2025-03-11,USER_1133,0
276,671.18,BR,app,credito,14:21,2025-02-23,USER_0536,0
277,383.96,BR,app,debito,20:48,2025-03-10,USER_0141,0
278,367.98,BR,loja,credito,21:46,2025-05-04,USER_1220,0
279,175.48,BR,web,credito,09:11,2025-04-24,USER_0008,0
280,305.55,BR,app,credito,08:54,2025-03-22,USER_0089,0
281,217.33,BR,app,debito,06:04,2025-04-13,USER_1749,0
282,479.62,BR,loja,debito,15:19,2025-03-22,USER_1824,0
283,231.53,BR,loja,debito,16:28,2025-02-17,USER_0062,0
284,1039.16,FR,loja,credito,14:28,2025-03-11,USER_1656,1
285,513.35,BR,loja,debito,10:48,2025-03-31,USER_1401,0
286,292.25,BR,app,debito,16:34,2025-02-19,USER_1307,0
287,140.18,FR,loja,credito,16:32,2025-04-27,USER_0119,0
288,348.97,BR,app,debito,09:53,2025-02-19,USER_0829,0
289,251.39,BR,app,credito,11:23,2025-04-25,USER_0262,0
290,409.33,CN,loja,debito,10:23,2025-05-04,USER_1107,0
291,345.12,BR,app,debito,08:36,2025-03-03,USER_0785,0
292,401.56,BR,loja,credito,11:34,2025-02-28,USER_1042,0
293,330.65,BR,loja,debito,11:13,2025-03-29,USER_0689,0
294,453.63,BR,web,debito,14:53,2025-04-01,USER_0976,0
295,392.86,FR,loja,debito,10:26,2025-04-03,USER_0176,0
296,36.46,BR,app,debito,06:59,2025-03-02,USER_1272,0
297,550.81,BR,app,credito,21:02,2025-03-21,USER_0348,0
298,381.11,BR,loja,credito,11:06,2025-03-06,USER_0675,0
299,622.46,BR,app,debito,11:23,2025-04-29,USER_0390,0
300,573.68,BR,loja,credito,19:16,2025-04-14,USER_0841,0
301,248.45,CN,loja,debito,06:10,2025-02-26,USER_0433,0
302,581.33,BR,app,debito,12:27,2025-03-12,USER_0756,0
303,217.34,BR,app,credito,16:57,2025-04-07,USER_0041,0
304,138.61,BR,app,debito,21:20,2025-04-23,USER_1544,0
305,35.11,BR,app,credito,12:36,2025-02-27,USER_1181,0
306,345.74,BR,app,debito,06:31,2025-03-29,USER_0780,0
307,80.22,BR,app,credito,09:14,2025-05-13,USER_0982,0
308,377.08,BR,app,debito,08:57,2025-02-18,USER_1348,0
309,131.5,BR,loja,pre-pago,08:39,2025-04-15,USER_0652,0
310,412.52,BR,web,credito,12:52,2025-04-25,USER_0003,0
311,189.31,BR,web,debito,17:21,2025-03-29,USER_0583,0
312,224.77,BR,app,debito,17:50,2025-05-01,USER_0490,0
313,773.56,BR,loja,debito,14:52,2025-02-21,USER_1807,0
314,286.92,BR,web,debito,08:07,2025-05-06,USER_0948,0
315,112.77,BR,loja,debito,06:53,2025-04-24,USER_0149,0
316,598.98,BR,app,debito,20:20,2025-04-03,USER_0802,0
317,8.37,BR,app,credito,16:55,2025-03-26,USER_0516,0
318,484.23,BR,app,credito,10:22,2025-05-01,USER_1330,0
319,643.98,NG,web,debito,17:31,2025-05-07,USER_1891,0
320,197.97,US,app,debito,11:34,2025-04-04,USER_0810,0
321,423.69,BR,loja,credito,14:16,2025-04-22,USER_1070,0
322,622.19,BR,loja,debito,08:53,2025-05-11,USER_0722,0
323,337.88,BR,web,credito,08:14,2025-03-15,USER_1810,0
324,268.75,BR,web,credito,08:36,2025-03-07,USER_0594,0
325,219.57,BR,app,debito,11:19,2025-04-15,USER_0756,0
326,456.43,BR,app,credito,13:56,2025-02-27,USER_0708,0
327,533.82,BR,loja,debito,07:17,2025-03-06,USER_1920,0
328,346.29,BR,app,debito,07:00,2025-03-10,USER_1987,0
329,342.91,BR,app,credito,10:21,2025-04-11,USER_1695,0
330,190.33,BR,app,debito,08:08,2025-04-11,USER_0082,0
331,105.07,BR,loja,credito,16:31,2025-03-04,USER_0861,0
332,370.18,BR,web,debito,11:36,2025-02-21,USER_1239,0
333,695.12,BR,app,debito,11:18,2025-03-22,USER_0683,0
334,30.99,BR,loja,credito,15:06,2025-04-26,USER_1259,0
335,389.87,BR,app,debito,14:05,2025-02-24,USER_0127,0
336,353.78,BR,loja,debito,06:09,2025-02-28,USER_0897,0
337,303.54,BR,app,pre-pago,16:31,2025-03-22,USER_0836,0
338,379.98,CN,app,credito,07:21,2025-02-17,USER_0313,0
339,729.21,BR,web,credito,17:41,2025-04-14,USER_1685,0
340,456.22,BR,app,debito,16:42,2025-03-12,USER_0618,0
341,201.33,BR,app,debito,12:07,2025-02-21,USER_1368,0
342,52.66,BR,app,debito,15:14,2025-05-15,USER_1990,0
343,408.21,BR,app,credito,13:03,2025-03-12,USER_0045,0
344,635.49,BR,web,credito,08:57,2025-02-25,USER_0977,0
345,140.91,BR,loja,credito,19:21,2025-04-22,USER_1489,0
346,668.38,BR,loja,debito,12:17,2025-05-10,USER_1755,0
347,702.18,BR,app,debito,20:26,2025-04-12,USER_1067,0
348,552.31,BR,app,credito,17:22,2025-03-08,USER_1296,0
349,700.32,BR,web,credito,21:27,2025-04-07,USER_1276,0
350,456.09,BR,app,debito,08:18,2025-03-01,USER_0393,0
351,451.53,BR,app,credito,17:15,2025-04-13,USER_0978,0
352,407.45,BR,loja,credito,16:10,2025-04-18,USER_1637,0
353,446.21,BR,app,debito,18:28,2025-03-09,USER_0151,0
354,746.55,BR,web,debito,15:17,2025-03-29,USER_0053,0
355,323.47,BR,web,debito,09:33,2025-03-27,USER_0033,0
356,338.42,BR,app,debito,18:09,2025-03-28,USER_1959,0
357,252.05,BR,loja,credito,21:25,2025-03-16,USER_0920,0
358,701.1,BR,web,credito,14:00,2025-04-03,USER_1096,0
359,757.35,BR,loja,credito,14:19,2025-04-06,USER_1775,0
360,506.14,BR,app,debito,08:47,2025-04-22,USER_0965,0
361,393.1,BR,loja,debito,18:02,2025-05-14,USER_1272,0
362,581.18,BR,loja,debito,10:36,2025-04-12,USER_0315,0
363,306.43,BR,app,debito,14:25,2025-03-08,USER_1491,0
364,202.62,BR,loja,debito,09:16,2025-03-30,USER_1737,0
365,597.74,BR,loja,credito,10:51,2025-03-13,USER_0672,0
366,160.38,BR,app,credito,18:04,2025-03-13,USER_0052,0
367,323.97,BR,web,credito,14:50,2025-04-29,USER_1807,0
368,529.5,BR,loja,credito,08:44,2025-02-26,USER_1496,0
369,623.84,BR,web,debito,07:28,2025-03-06,USER_0488,0
370,224.22,BR,app,credito,20:28,2025-03-09,USER_0270,0
371,280.14,BR,loja,debito,07:15,2025-05-03,USER_0159,0
372,651.5,BR,app,debito,20:12,2025-05-13,USER_0979,0
373,353.75,CN,loja,credito,11:27,2025-03-18,USER_1439,0
374,188.28,BR,loja,debito,16:44,2025-04-17,USER_0346,0
375,318.48,BR,loja,credito,17:19,2025-04-22,USER_0968,0
376,43.54,BR,app,debito,20:17,2025-04-05,USER_1542,0
377,511.35,BR,web,credito,10:08,2025-04-01,USER_0040,0
378,25.55,BR,web,debito,19:09,2025-05-09,USER_1549,0
379,51.55,RU,app,debito,08:39,2025-04-21,USER_1465,0
380,252.76,BR,app,debito,11:15,2025-03-04,USER_0526,0
381,253.77,BR,loja,credito,21:28,2025-05-03,USER_1527,0
382,355.34,BR,loja,pre-pago,11:15,2025-05-03,USER_0616,0
383,275.98,FR,web,debito,12:56,2025-02-17,USER_0801,0
384,316.3,BR,app,credito,14:19,2025-02-22,USER_0682,0
385,437.46,BR,app,credito,06:34,2025-04-20,USER_0921,0
386,230.39,NG,app,credito,07:32,2025-03-22,USER_1578,0
387,758.18,BR,web,credito,09:38,2025-04-19,USER_1225,0
388,436.47,BR,app,credito,09:57,2025-04-22,USER_1648,0
389,898.52,BR,web,credito,08:16,2025-05-03,USER_0706,0
390,654.62,BR,app,credito,18:55,2025-03-03,USER_1489,0
391,295.22,BR,app,credito,07:24,2025-02-27,USER_0069,0
392,113.77,CN,app,debito,20:43,2025-04-07,USER_1043,0
393,455.81,BR,loja,credito,17:43,2025-04-07,USER_1716,0
394,267.35,BR,app,credito,18:08,2025-05-03,USER_1043,0
395,255.55,BR,loja,debito,17:28,2025-03-07,USER_0113,0
396,619.76,CN,loja,debito,18:48,2025-03-28,USER_1156,0
397,499.91,BR,loja,credito,08:38,2025-04-06,USER_0154,0
398,191.29,BR,web,debito,12:22,2025-03-11,USER_0093,0
399,225.97,US,app,debito,06:57,2025-04-24,USER_1145,0
400,132.04,BR,loja,debito,16:45,2025-05-15,USER_1487,0
401,328.64,BR,app,credito,16:33,2025-03-04,USER_1517,0
402,420.74,BR,loja,debito,13:17,2025-03-09,USER_0522,0
403,20.59,BR,app,credito,08:25,2025-05-05,USER_0556,0
404,567.8,BR,web,credito,17:57,2025-04-06,USER_1297,0
405,191.71,BR,app,debito,19:28,2025-04-04,USER_0432,0
406,651.07,BR,loja,credito,18:25,2025-03-15,USER_1083,0
407,180.59,BR,loja,debito,15:29,2025-04-22,USER_0125,0
408,393.57,BR,app,debito,10:28,2025-04-29,USER_0481,0
409,116.61,BR,app,credito,06:44,2025-04-20,USER_1207,0
410,470.77,BR,app,debito,14:09,2025-03-28,USER_1993,0
411,1054.7,BR,app,credito,09:27,2025-04-05,USER_1297,0
412,453.56,BR,loja,debito,12:11,2025-05-08,USER_1947,0
413,492.9,BR,loja,debito,09:15,2025-03-24,USER_1597,0
414,260.97,BR,loja,credito,20:22,2025-03-07,USER_1621,0
415,561.32,BR,app,debito,9:48,2025-02-23,USER_1280,1
416,532.51,BR,loja,credito,06:36,2025-04-04,USER_1473,0
